1,4,30,100
1,55,30,100
1,2,10,10
2,3,10,10
3,4,10,10
1,19,10,10
1,20,10,10
20,21,10,10
21,4,10,10
19,37,10,10
37,55,10,10
55,38,10,10
38,39,10,10
39,58,10,10
4,7,30,100
4,58,30,100
4,5,10,10
5,6,10,10
6,7,10,10
4,22,10,10
4,23,10,10
23,24,10,10
24,7,10,10
22,40,10,10
40,58,10,10
58,41,10,10
41,42,10,10
42,61,10,10
7,10,30,100
7,61,30,100
7,8,10,10
8,9,10,10
9,10,10,10
7,25,10,10
7,26,10,10
26,27,10,10
27,10,10,10
25,43,10,10
43,61,10,10
61,44,10,10
44,45,10,10
45,64,10,10
10,13,30,100
10,64,30,100
10,11,10,10
11,12,10,10
12,13,10,10
10,28,10,10
10,29,10,10
29,30,10,10
30,13,10,10
28,46,10,10
46,64,10,10
64,47,10,10
47,48,10,10
48,67,10,10
13,16,30,100
13,67,30,100
13,14,10,10
14,15,10,10
15,16,10,10
13,31,10,10
13,32,10,10
32,33,10,10
33,16,10,10
31,49,10,10
49,67,10,10
67,50,10,10
50,51,10,10
51,70,10,10
16,1,30,100
16,70,30,100
16,17,10,10
17,18,10,10
18,1,10,10
16,34,10,10
16,35,10,10
35,36,10,10
36,1,10,10
34,52,10,10
52,70,10,10
70,53,10,10
53,54,10,10
54,55,10,10
55,58,30,100
55,109,30,100
55,56,10,10
56,57,10,10
57,58,10,10
55,73,10,10
55,74,10,10
74,75,10,10
75,58,10,10
73,91,10,10
91,109,10,10
109,92,10,10
92,93,10,10
93,112,10,10
58,61,30,100
58,112,30,100
58,59,10,10
59,60,10,10
60,61,10,10
58,76,10,10
58,77,10,10
77,78,10,10
78,61,10,10
76,94,10,10
94,112,10,10
112,95,10,10
95,96,10,10
96,115,10,10
61,64,30,100
61,115,30,100
61,62,10,10
62,63,10,10
63,64,10,10
61,79,10,10
61,80,10,10
80,81,10,10
81,64,10,10
79,97,10,10
97,115,10,10
115,98,10,10
98,99,10,10
99,118,10,10
64,67,30,100
64,118,30,100
64,65,10,10
65,66,10,10
66,67,10,10
64,82,10,10
64,83,10,10
83,84,10,10
84,67,10,10
82,100,10,10
100,118,10,10
118,101,10,10
101,102,10,10
102,121,10,10
67,70,30,100
67,121,30,100
67,68,10,10
68,69,10,10
69,70,10,10
67,85,10,10
67,86,10,10
86,87,10,10
87,70,10,10
85,103,10,10
103,121,10,10
121,104,10,10
104,105,10,10
105,124,10,10
70,55,30,100
70,124,30,100
70,71,10,10
71,72,10,10
72,55,10,10
70,88,10,10
70,89,10,10
89,90,10,10
90,55,10,10
88,106,10,10
106,124,10,10
124,107,10,10
107,108,10,10
108,109,10,10
109,112,30,100
109,163,30,100
109,110,10,10
110,111,10,10
111,112,10,10
109,127,10,10
109,128,10,10
128,129,10,10
129,112,10,10
127,145,10,10
145,163,10,10
163,146,10,10
146,147,10,10
147,166,10,10
112,115,30,100
112,166,30,100
112,113,10,10
113,114,10,10
114,115,10,10
112,130,10,10
112,131,10,10
131,132,10,10
132,115,10,10
130,148,10,10
148,166,10,10
166,149,10,10
149,150,10,10
150,169,10,10
115,118,30,100
115,169,30,100
115,116,10,10
116,117,10,10
117,118,10,10
115,133,10,10
115,134,10,10
134,135,10,10
135,118,10,10
133,151,10,10
151,169,10,10
169,152,10,10
152,153,10,10
153,172,10,10
118,121,30,100
118,172,30,100
118,119,10,10
119,120,10,10
120,121,10,10
118,136,10,10
118,137,10,10
137,138,10,10
138,121,10,10
136,154,10,10
154,172,10,10
172,155,10,10
155,156,10,10
156,175,10,10
121,124,30,100
121,175,30,100
121,122,10,10
122,123,10,10
123,124,10,10
121,139,10,10
121,140,10,10
140,141,10,10
141,124,10,10
139,157,10,10
157,175,10,10
175,158,10,10
158,159,10,10
159,178,10,10
124,109,30,100
124,178,30,100
124,125,10,10
125,126,10,10
126,109,10,10
124,142,10,10
124,143,10,10
143,144,10,10
144,109,10,10
142,160,10,10
160,178,10,10
178,161,10,10
161,162,10,10
162,163,10,10
163,166,30,100
163,217,30,100
163,164,10,10
164,165,10,10
165,166,10,10
163,181,10,10
163,182,10,10
182,183,10,10
183,166,10,10
181,199,10,10
199,217,10,10
217,200,10,10
200,201,10,10
201,220,10,10
166,169,30,100
166,220,30,100
166,167,10,10
167,168,10,10
168,169,10,10
166,184,10,10
166,185,10,10
185,186,10,10
186,169,10,10
184,202,10,10
202,220,10,10
220,203,10,10
203,204,10,10
204,223,10,10
169,172,30,100
169,223,30,100
169,170,10,10
170,171,10,10
171,172,10,10
169,187,10,10
169,188,10,10
188,189,10,10
189,172,10,10
187,205,10,10
205,223,10,10
223,206,10,10
206,207,10,10
207,226,10,10
172,175,30,100
172,226,30,100
172,173,10,10
173,174,10,10
174,175,10,10
172,190,10,10
172,191,10,10
191,192,10,10
192,175,10,10
190,208,10,10
208,226,10,10
226,209,10,10
209,210,10,10
210,229,10,10
175,178,30,100
175,229,30,100
175,176,10,10
176,177,10,10
177,178,10,10
175,193,10,10
175,194,10,10
194,195,10,10
195,178,10,10
193,211,10,10
211,229,10,10
229,212,10,10
212,213,10,10
213,232,10,10
178,163,30,100
178,232,30,100
178,179,10,10
179,180,10,10
180,163,10,10
178,196,10,10
178,197,10,10
197,198,10,10
198,163,10,10
196,214,10,10
214,232,10,10
232,215,10,10
215,216,10,10
216,217,10,10
217,220,30,100
217,271,30,100
217,218,10,10
218,219,10,10
219,220,10,10
217,235,10,10
217,236,10,10
236,237,10,10
237,220,10,10
235,253,10,10
253,271,10,10
271,254,10,10
254,255,10,10
255,274,10,10
220,223,30,100
220,274,30,100
220,221,10,10
221,222,10,10
222,223,10,10
220,238,10,10
220,239,10,10
239,240,10,10
240,223,10,10
238,256,10,10
256,274,10,10
274,257,10,10
257,258,10,10
258,277,10,10
223,226,30,100
223,277,30,100
223,224,10,10
224,225,10,10
225,226,10,10
223,241,10,10
223,242,10,10
242,243,10,10
243,226,10,10
241,259,10,10
259,277,10,10
277,260,10,10
260,261,10,10
261,280,10,10
226,229,30,100
226,280,30,100
226,227,10,10
227,228,10,10
228,229,10,10
226,244,10,10
226,245,10,10
245,246,10,10
246,229,10,10
244,262,10,10
262,280,10,10
280,263,10,10
263,264,10,10
264,283,10,10
229,232,30,100
229,283,30,100
229,230,10,10
230,231,10,10
231,232,10,10
229,247,10,10
229,248,10,10
248,249,10,10
249,232,10,10
247,265,10,10
265,283,10,10
283,266,10,10
266,267,10,10
267,286,10,10
232,217,30,100
232,286,30,100
232,233,10,10
233,234,10,10
234,217,10,10
232,250,10,10
232,251,10,10
251,252,10,10
252,217,10,10
250,268,10,10
268,286,10,10
286,269,10,10
269,270,10,10
270,271,10,10
271,274,30,100
271,1,30,100
271,272,10,10
272,273,10,10
273,274,10,10
271,289,10,10
271,290,10,10
290,291,10,10
291,274,10,10
289,307,10,10
307,1,10,10
1,308,10,10
308,309,10,10
309,4,10,10
274,277,30,100
274,4,30,100
274,275,10,10
275,276,10,10
276,277,10,10
274,292,10,10
274,293,10,10
293,294,10,10
294,277,10,10
292,310,10,10
310,4,10,10
4,311,10,10
311,312,10,10
312,7,10,10
277,280,30,100
277,7,30,100
277,278,10,10
278,279,10,10
279,280,10,10
277,295,10,10
277,296,10,10
296,297,10,10
297,280,10,10
295,313,10,10
313,7,10,10
7,314,10,10
314,315,10,10
315,10,10,10
280,283,30,100
280,10,30,100
280,281,10,10
281,282,10,10
282,283,10,10
280,298,10,10
280,299,10,10
299,300,10,10
300,283,10,10
298,316,10,10
316,10,10,10
10,317,10,10
317,318,10,10
318,13,10,10
283,286,30,100
283,13,30,100
283,284,10,10
284,285,10,10
285,286,10,10
283,301,10,10
283,302,10,10
302,303,10,10
303,286,10,10
301,319,10,10
319,13,10,10
13,320,10,10
320,321,10,10
321,16,10,10
286,271,30,100
286,16,30,100
286,287,10,10
287,288,10,10
288,271,10,10
286,304,10,10
286,305,10,10
305,306,10,10
306,271,10,10
304,322,10,10
322,16,10,10
16,323,10,10
323,324,10,10
324,1,10,10
