event_id,time_s,time_ns,node_id,longitude_deg,latitude_deg,spatial_risk,step_failure_probability,random_value,risk_active,recovery_time_s
1,410,410000000000,19,-85.213137873108764,-26.486216279020102,0.37195632368289733,0.00055612374346664464,0.0003037352727672404,false,418
2,456,456000000000,19,-85.193997187764893,-23.741153750848746,0.35256807914978139,0.00052714340349123716,0.00030003838762826865,false,464
3,1746,1746000000000,27,-61.93074481456194,-39.258687888588881,0.64025748168250318,0.00095707733598971389,0.00045131614754762473,true,1754
4,2284,2284000000000,27,-61.677470315626159,-7.1543191193406006,0.22021074356877726,0.00032928145386024936,0.00015744847076695458,false,2292
5,2350,2350000000000,38,-31.359649967211713,2.2296714493644876,0.011809162094679505,1.7661009672722491e-05,1.3413141199837758e-05,false,2358
6,3019,3019000000000,25,-66.252775724937706,-28.594114343189855,0.94029578485043652,0.0014052689154688534,0.00071383271098071806,true,3027
7,3276,3276000000000,24,-69.079795827173953,-45.892595616062025,0.28971984244398374,0.00043319599783662977,0.00022802875550230529,false,3284
8,3466,3466000000000,24,-68.634353843055109,-34.565830815274296,0.76740740533595375,0.0011470360580022238,0.0011381081390954772,true,3474
9,3819,3819000000000,23,-71.374242540330158,-46.136970902857712,0.26136515092534174,0.00039080767441353561,0.00022754283792546728,false,3827
10,4064,4064000000000,24,-68.570827446888458,1.1258119586849369,0.046939592840261286,7.0197937792322671e-05,8.6447693868801074e-06,false,4072
11,4701,4701000000000,33,-42.659820957021125,-20.724185996418235,0.52318204587819728,0.00078213769475821084,2.7041883586140301e-05,true,4709
12,5069,5069000000000,43,-45.031056952367948,-31.411609208924421,0.67963502556812172,0.0010159102369626488,0.00078936716639166024,true,5077
13,5381,5381000000000,32,-75.316830675395479,-18.234406396020386,0.49998358790702596,0.00074746982788178153,0.00051690873399307417,false,5389
14,6082,6082000000000,30,-80.262484922546619,-41.691948748939133,0.27678100667631239,0.0004138535467815855,0.00025227224744684703,false,6090
15,6467,6467000000000,40,-52.378952967009582,-45.918122161975482,0.29986625216019575,0.00044836374932424769,6.45746508220973e-05,false,6475
16,7037,7037000000000,39,-54.580477417649526,-44.553837943478534,0.36905209727449406,0.00055178274028347819,0.00018601050569913008,false,7045
17,7156,7156000000000,50,-23.779963131557562,-32.021558982033049,0.12484537750225481,0.00018669479198324344,0.0001746993596519965,false,7164
18,7728,7728000000000,49,-26.035248079350076,-30.536204487449737,0.16487162266486327,0.00024654298522540103,1.9141473803070039e-05,false,7736
19,7855,7855000000000,49,-25.964686889208657,-22.958002499732878,0.1532126941891277,0.00022911064800777936,0.00012860424508100447,false,7863
20,7948,7948000000000,38,-56.344146804761721,-22.849603626650712,0.89339041793731144,0.0013352158216494295,0.00017834898016801755,true,7956
21,8218,8218000000000,37,-58.910218211459465,-39.38035375713401,0.6366541119516913,0.00095169346774208344,1.1116499619612453e-05,true,8226
22,8422,8422000000000,37,-58.653864863326142,-27.211996013529994,0.99505974656781793,0.0014870525907327815,0.00079974186754466704,true,8430
23,10214,10214000000000,44,-37.926313079627761,-45.413531622007284,0.16450552887691897,0.00024599560932490292,0.00022207527565575611,false,10222
24,10382,10382000000000,44,-37.529127365189993,-35.398391468496357,0.37935425041340004,0.00056718148193870145,0.00024341210970415709,false,10390
25,10580,10580000000000,33,-67.792385456758495,-29.026371441899851,0.90722622636799355,0.0013558800913886046,0.0010081625566114233,true,10588
26,11440,11440000000000,54,-39.684521065760869,-4.9076352956248739,0.083034472703329087,0.00012417430736173118,1.1632219520281457e-05,false,11448
27,11856,11856000000000,42,-72.29200403526275,-18.177142538596623,0.56654521676009684,0.00084693656264593338,1.2552831929872987e-05,true,11864
28,11969,11969000000000,52,-44.461813171883385,-38.636876069690345,0.46512766567669761,0.00069537873923614199,0.00024117786673945291,false,11977
29,12790,12790000000000,40,-76.895934372316617,-27.738052382588787,0.64353273363207208,0.00096197093159356751,0.00028318074971940278,true,12798
30,13846,13846000000000,38,-81.483128295744294,-30.017508135101696,0.48366500345166563,0.00072308255043101132,0.0005058399646577222,false,13854
31,14910,14910000000000,47,-55.621389873087594,-26.37902408028582,0.9620294149475197,0.0014377263928376603,0.0005684970222058196,true,14918
32,15633,15633000000000,46,-57.871427052238417,-15.880891310851849,0.59632646931495137,0.00089143713450010942,9.8575144192117743e-05,true,15641
33,16801,16801000000000,65,-34.599671180769612,-38.680673981695861,0.24864153195743277,0.00037178615049273002,0.00018880796601810889,false,16809
34,17154,17154000000000,54,-64.718209741962227,-23.061512284063671,0.88777493297165921,0.0013268287740505614,0.00078904143630541376,true,17162
35,18191,18191000000000,52,-69.299774265215603,-26.475224213284967,0.8680217948388842,0.0012973257741202278,0.00053033677635482739,true,18199
36,18449,18449000000000,62,-41.425307505291755,-38.281538042172173,0.40677879796641531,0.00060817209852709266,0.00040570788187609043,false,18457
37,18515,18515000000000,62,-41.318111427066839,-34.345480172592957,0.50742331264419949,0.00075858791281770556,0.00019316678870904541,true,18523
38,19649,19649000000000,49,-76.337285259491622,-37.410209175488006,0.48706110184451801,0.00072815789224746569,0.00046122937834256118,false,19657
39,20719,20719000000000,58,-50.416470142134507,-33.415454743763881,0.7838285107401205,0.0011715661342540015,0.000486467755675617,true,20727
40,20787,20787000000000,58,-50.349009981928631,-29.358768989330471,0.86058090127347708,0.0012862119376747241,0.00049137303191367323,true,20795
41,21661,21661000000000,10,-18.409670640155486,-44.566068576035867,0.026721847761559617,3.9963000369233618e-05,3.785197806386544e-05,false,21669
42,22100,22100000000000,56,-54.845906294111195,-16.301156221529268,0.59677600251579954,0.00089210883332320587,0.00021916419397717166,true,22108
43,23019,23019000000000,65,-59.438690213177864,-26.757742315643529,0.99417248139175951,0.0014857276156693589,0.0011080501672053791,true,23027
44,23104,23104000000000,65,-59.408571775622043,-21.685178943695959,0.87022674120103949,0.0013006190931645,0.0012573900775837564,true,23112
45,23665,23665000000000,64,-61.685957230475474,-20.855700908369439,0.8339246510791708,0.0012463967251637269,0.00046642918535910331,true,23673
46,24388,24388000000000,62,-66.688212086080583,-42.998316981195281,0.42736969727890134,0.00063894756904461531,0.00063278226452383938,false,24396
47,24422,24422000000000,63,-63.994241505664597,-8.3263309726931798,0.25447435280277847,0.00038050613127883027,8.445769026111802e-05,false,24430
48,25290,25290000000000,61,-68.527390851758128,-21.828900123128136,0.78313712549998193,0.0011705333454886742,0.0011209268665762593,true,25298
49,25396,25396000000000,61,-68.52487134751108,-15.502012597776575,0.51969644947841098,0.00077692888256547792,0.0007459158439073935,true,25404
50,25415,25415000000000,61,-68.52759195246783,-14.36784804354407,0.46884439935026051,0.0007009334111282155,0.00059051302327465009,false,25423
51,25448,25448000000000,3,-34.491865147860167,-42.020467236659513,0.18513695182050935,0.00027684282102570176,6.1030036931449479e-05,false,25456
52,26309,26309000000000,1,-39.403080677277522,-28.111980016574169,0.51958533010000774,0.00077676282733033582,0.00058076370526078411,true,26317
53,26344,26344000000000,59,-73.097391979181069,-24.22827371117712,0.73043110640907438,0.0010917981414491071,0.00087552056231263034,true,26352
54,27068,27068000000000,0,-41.384049816103825,-40.750424138642146,0.33310563410639576,0.00049805130805839282,0.00040271903475875951,false,27076
55,27585,27585000000000,10,-43.730114125043421,-38.955776210512028,0.43811698975933488,0.00065501025902773419,0.00061407967650531164,false,27593
56,28189,28189000000000,55,-82.733180603268096,-44.709453295479868,0.17084617440174338,0.00025547596971999697,4.46792713583653e-05,false,28197
57,30564,30564000000000,4,-57.68583324368597,-20.842418475950254,0.83014924565782833,0.0012407574477429262,0.00033984893716140161,true,30572
58,30660,30660000000000,15,-27.204215618362454,-32.011905923014631,0.17983654166411905,0.00026891796774589473,1.3969140803809579e-05,false,30668
59,30664,30664000000000,4,-57.65299798698009,-26.810221851946004,0.98667376465120515,0.0014745295260095005,0.0014367553635605415,true,30672
60,31189,31189000000000,3,-59.943536338191116,-25.491332600165332,0.97838008898487394,0.0014621441507919526,0.0008700490419217854,true,31197
61,31305,31305000000000,3,-59.856485204929562,-32.412443502274328,0.93460176266696149,0.0013967651641014396,0.0011556207296366599,true,31313
62,31715,31715000000000,2,-62.23148884194412,-24.232050335480359,0.94461186380738682,0.0014117147259028007,0.00072668123784235157,true,31723
63,32118,32118000000000,12,-34.144131865024626,-21.073848803752835,0.30172364883738462,0.00045114032538632096,0.00044603065885006851,false,32126
64,32200,32200000000000,1,-64.525270987088291,-20.525728486814774,0.79805581165489115,0.0011928185876949324,1.0762597024119503e-05,true,32208
65,33196,33196000000000,0,-66.115813769286632,-47.298021644723853,0.25902676874866026,0.00038731187284932634,8.079456556711106e-05,false,33204
66,33304,33304000000000,10,-69.083156609989857,-21.110391973781404,0.74666735315663046,0.001116053417889716,0.0010782313123978938,true,33312
67,33956,33956000000000,9,-71.325176411581182,-27.370398451564327,0.81929759617758224,0.0012245482928558487,0.00076288850015979453,true,33964
68,34349,34349000000000,8,-73.645743629757305,-18.17358979019523,0.53653287796248139,0.00080208868547880898,0.00075603163737211862,true,34357
69,34704,34704000000000,18,-45.532259625705755,-12.149524610950092,0.30259184173958775,0.000452438162701321,0.0004123388989284847,false,34712
70,35181,35181000000000,7,-75.75464620113263,-35.173312610821952,0.57023513034841999,0.00085245031557365904,0.00013643061471580711,true,35189
71,35323,35323000000000,7,-75.447951829630227,-43.639404987999256,0.29595594806162467,0.0004425183078439079,3.8593543699816127e-05,false,35331
72,36020,36020000000000,5,-80.483383830340301,-19.945936055367678,0.41781398032062161,0.00062466556735290332,0.00032439107714997238,false,36028
73,36308,36308000000000,27,-18.985187785922474,-47.998148277118496,0.018599097085568575,2.7815450673954868e-05,1.155422125088005e-05,false,36316
74,37381,37381000000000,25,-23.629668115446609,-46.735199898181179,0.038383161400561985,5.7402202548817437e-05,1.902645545953483e-05,false,37389
75,38233,38233000000000,12,-59.186934926357019,-26.85529315897573,0.99444546718246662,0.0014861352722992586,0.00019665272927465099,true,38241
76,38289,38289000000000,12,-59.147638704384455,-30.196605006494064,0.98228390827396039,0.0014679739453652666,0.00034512068885031704,true,38297
77,38456,38456000000000,23,-28.259223904615869,-45.591157953907775,0.072134461249617726,0.00010787471128641588,5.198898976987924e-05,false,38464
78,39880,39880000000000,20,-66.022483453206959,-27.195052810272283,0.94344002048001285,0.0014099646508318119,0.0013895505780881553,true,39888
79,40642,40642000000000,19,-68.022439994369876,-40.013159950341013,0.54858252928474971,0.00082009489768199509,0.00048398275409555368,true,40650
80,40980,40980000000000,18,-70.578213178375833,-27.540894983706345,0.8407887147629437,0.0012566494125092695,0.00020093681332535512,true,40988
81,41087,41087000000000,18,-70.478923220626413,-33.924425285255118,0.7472709695372981,0.0011169551470911517,0.0010630372495184998,true,41095
82,42077,42077000000000,27,-44.674315312831979,-33.14776821021281,0.6347804297748374,0.00094889394950033689,1.4357502336232107e-05,true,42085
83,42104,42104000000000,27,-44.639401391047535,-34.75825518300617,0.59291300658989154,0.00088633667581555081,0.0006181986836216707,true,42112
84,42155,42155000000000,27,-44.556952388792865,-37.799766553770958,0.49584448521212265,0.0007412842100806929,0.00017151586610714443,false,42163
85,42473,42473000000000,26,-47.064040524658843,-24.132201256017076,0.73331256146780155,0.0010961027808181066,6.8644763500921152e-05,true,42481
86,44199,44199000000000,12,-84.284887595098141,-23.744906384393943,0.37795340488581036,0.00056508763665162522,0.00016693794976991918,false,44207
87,44652,44652000000000,22,-56.185452994425233,-23.57074312023914,0.91340669842592359,0.0013651107070609804,0.00015235180773054625,true,44660
88,45836,45836000000000,31,-60.698951175064003,-28.929079079848051,0.99625593765271769,0.0014888388897244603,0.00091385869078398874,true,45844
